"","ID","Fecha","Altura","Caudal","Area","Velocidad","Froude","Este","Norte"
"1",1,"2018-01-05",1.14,1478.69706666667,1.8944,0.780562218468469,0.220276434311739,294113.1215,6614885.459
"2",2,"2018-01-05",1.14,1485.62133333333,1.8944,0.784217342342342,0.221307918586605,294113.1215,6614885.459
"3",3,"2018-01-05",1.14,1470.2656,1.8944,0.776111486486487,0.219020427618266,294113.1215,6614885.459
"4",4,"2018-02-05",1.4,2550.27765,2.2891,1.11409621685379,0.286012591490911,294113.1215,6614885.459
"5",5,"2018-02-05",1.4,2577.72333958333,2.2891,1.12608594625981,0.289090614310498,294113.1215,6614885.459
"6",6,"2018-02-05",1.4,2589.34891666667,2.2891,1.13116461345798,0.290394418007786,294113.1215,6614885.459
"7",7,"2017-12-19",1.47,2918.720925,2.3976,1.21735106981982,0.305368215223844,294113.12153,6614885.45867
"8",8,"2017-12-19",1.47,2896.4601,2.3976,1.20806644144144,0.30303919899573,294113.12153,6614885.45867
"9",9,"2017-12-19",1.47,2930.4909,2.3976,1.22226013513513,0.306599636915515,294113.12153,6614885.45867
"10",10,"2017-08-28",1.235,1871.05809166667,2.0276,0.922794481981982,0.251715640566427,294113.12153,6614885.45867
"11",11,"2017-08-28",1.235,1876.3057625,2.0276,0.925382601351351,0.252421615881238,294113.12153,6614885.45867
"12",12,"2017-08-28",1.235,1876.23669166667,2.0276,0.925348536036036,0.252412323700983,294113.12153,6614885.45867
