"","ID","Fecha","Altura","Caudal","Area","Velocidad","Froude","Este","Norte"
"1",1,"2017-11-06",0.4,148.62805,0.3679,0.40399035063876,0.201734903456198,286304.06738,6614099.71484
"2",2,"2017-11-06",0.4,150.615983333333,0.3679,0.4093938117242,0.204433152804672,286304.06738,6614099.71484
"3",3,"2017-11-06",0.4,147.996758333333,0.3679,0.402274417867174,0.200878042564679,286304.06738,6614099.71484
"4",4,"2017-12-12",0.36,92.1565583333334,0.33245,0.27720426630571,0.145618636677554,286304.06738,6614099.71484
"5",5,"2017-12-12",0.36,92.3529166666667,0.33245,0.277794906502231,0.145928906866864,286304.06738,6614099.71484
"6",6,"2017-12-12",0.36,90.9383083333333,0.33245,0.273539805484534,0.143693652635824,286304.06738,6614099.71484
"7",7,"2017-12-19",0.25,7.89375,0.225,0.0350833333333333,0.0224024925598947,286304.06738,6614099.71484
"8",8,"2017-12-19",0.3,35.7975,0.27,0.132583333333333,0.0772847493125852,286304.06738,6614099.71484
"9",9,"2017-12-19",0.43,187.969125,0.387,0.485708333333333,0.236486755661017,286304.06738,6614099.71484
"10",10,"2017-12-19",0.25,7.846875,0.225,0.034875,0.0222694611313918,286304.06738,6614099.71484
"11",11,"2017-12-19",0.3,36.2475,0.27,0.13425,0.0782562735025611,286304.06738,6614099.71484
"12",12,"2017-12-19",0.43,188.34,0.387,0.486666666666667,0.236953359022105,286304.06738,6614099.71484
"13",13,"2017-12-19",0.25,7.9875,0.225,0.0355,0.0226685554169006,286304.06738,6614099.71484
"14",14,"2017-12-19",0.3,36.2025,0.27,0.134083333333333,0.0781591210835635,286304.06738,6614099.71484
"15",15,"2017-12-19",0.43,184.9215,0.387,0.477833333333333,0.232652493259032,286304.06738,6614099.71484
"16",16,"2017-11-30",0.33,60.6886666666667,0.3049,0.199044495462993,0.109180220541867,286304.06738,6614099.71484
"17",17,"2017-11-30",0.33,62.311775,0.3049,0.204367907510659,0.112100227448099,286304.06738,6614099.71484
"18",18,"2017-11-30",0.33,61.6134583333333,0.3049,0.202077593746584,0.110843940700303,286304.06738,6614099.71484
