"","ID","Fecha","Altura","Caudal","Area","Velocidad","Froude","Este","Norte"
"1",1,"2018-01-10",0.39,154.675625,0.2925,0.528805555555556,0.270351760460657,285332.15143,6617105.88453
"2",2,"2018-01-10",0.39,156.190775,0.2925,0.533985555555556,0.273000034678795,285332.15143,6617105.88453
"3",3,"2018-01-10",0.39,153.198825,0.2925,0.523756666666667,0.267770516778284,285332.15143,6617105.88453
"4",4,"2017-12-19",0.34,93.4368166666667,0.255,0.366418888888889,0.200633704129605,285332.15143,6617105.88453
"5",5,"2017-12-19",0.34,94.3766333333333,0.255,0.370104444444445,0.202651740549968,285332.15143,6617105.88453
"6",6,"2017-12-19",0.34,93.6263666666667,0.255,0.367162222222222,0.201040718409142,285332.15143,6617105.88453
"7",7,"2017-12-20",0.24,14.989375,0.1875,0.0799433333333333,0.0510478839965753,285332.15143,6617105.88453
"8",8,"2017-12-20",0.31,60.973125,0.2325,0.26225,0.150383485441166,285332.15143,6617105.88453
"9",9,"2017-12-20",0.375,142.46925,0.28875,0.4934,0.253883383028258,285332.15143,6617105.88453
"10",10,"2017-12-20",0.24,14.358125,0.1875,0.0765766666666667,0.0488980961119678,285332.15143,6617105.88453
"11",11,"2017-12-20",0.31,60.3923916666667,0.2325,0.259752222222222,0.148951170748774,285332.15143,6617105.88453
"12",12,"2017-12-20",0.375,142.867725,0.28875,0.49478,0.254593474371142,285332.15143,6617105.88453
"13",13,"2017-12-20",0.24,14.9258333333333,0.1875,0.0796044444444444,0.0508314862062105,285332.15143,6617105.88453
"14",14,"2017-12-20",0.31,61.6507333333333,0.2325,0.265164444444444,0.152054731632511,285332.15143,6617105.88453
"15",15,"2017-12-20",0.375,143.300208333333,0.28875,0.496277777777778,0.255364169323,285332.15143,6617105.88453
"16",16,"2017-11-29",0.28,38.2643333333333,0.21,0.182211111111111,0.109941418751704,285332.15143,6617105.88453
"17",17,"2017-11-29",0.28,38.3142666666667,0.21,0.182448888888889,0.110084887643789,285332.15143,6617105.88453
"18",18,"2017-11-29",0.28,39.0840333333333,0.21,0.186114444444444,0.112296587994187,285332.15143,6617105.88453
