"","ID","Fecha","Altura","Caudal","Area","Velocidad","Froude","Este","Norte"
"1",1,"2018-01-03",0.43,313.454233333333,0.6106,0.513354460093897,0.249947391140194,285028.3217,6617622.209
"2",2,"2018-01-03",0.43,319.749433333333,0.6106,0.523664319248826,0.254967163245274,285028.3217,6617622.209
"3",3,"2018-01-03",0.43,310.8298,0.6106,0.509056338028169,0.247854676494383,285028.3217,6617622.209
"4",4,"2018-01-08",0.39,226.85845,0.5538,0.409639671361502,0.209428220153167,285028.3217,6617622.209
"5",5,"2018-01-08",0.39,224.479125,0.5538,0.405343309859155,0.207231705983579,285028.3217,6617622.209
"6",6,"2018-01-08",0.39,225.2991,0.5538,0.406823943661972,0.207988679791784,285028.3217,6617622.209
"7",7,"2018-01-10",0.28,56.5322,0.4112,0.137481031128405,0.0815659686895143,285028.3217,6617622.209
"8",8,"2018-01-10",0.365,187.17495,0.5248,0.356659584603659,0.187306743990501,285028.3217,6617622.209
"9",9,"2018-01-10",0.28,55.776475,0.4112,0.135643178501946,0.0804755911402966,285028.3217,6617622.209
"10",10,"2018-01-10",0.365,189.462525,0.5248,0.361018530868902,0.189595929722267,285028.3217,6617622.209
"11",11,"2018-01-10",0.28,55.015,0.4112,0.133791342412451,0.0793769173577825,285028.3217,6617622.209
"12",12,"2018-01-10",0.365,192.876025,0.5248,0.367522913490854,0.193011833242538,285028.3217,6617622.209
"13",13,"2017-11-20",0.33,121.307175,0.4686,0.258871478873239,0.143877449694852,285028.32168,6617622.20942
"14",14,"2017-11-20",0.33,118.791475,0.4686,0.2535029342723,0.140893681420656,285028.32168,6617622.20942
"15",15,"2017-11-20",0.33,120.1057,0.4686,0.256307511737089,0.142452429625989,285028.32168,6617622.20942
"16",16,"2017-11-29",0.25,6.4216,0.3266,0.0196619718309859,0.0130896684947121,285028.32168,6617622.20942
"17",17,"2017-11-29",0.25,6.62035833333333,0.3266,0.0202705399061033,0.0134948137379373,285028.32168,6617622.20942
"18",18,"2017-11-29",0.25,6.42581666666667,0.3266,0.019674882629108,0.0130982636686282,285028.32168,6617622.20942
