"","ID","Fecha","Altura","Caudal","Area","Velocidad","Froude","Este","Norte"
"1",1,"2017-12-20",0.25,48.3833333333333,0.3,0.161277777777778,0.102984063185074,284812.18805,6617461.3845
"2",2,"2017-12-20",0.3,95.57,0.36,0.265472222222222,0.154747611393333,284812.18805,6617461.3845
"3",3,"2017-12-20",0.25,49.55,0.3,0.165166666666667,0.105467316517129,284812.18805,NA
"4",4,"2017-12-20",0.3,97.28,0.36,0.270222222222222,0.157516455334764,284812.18805,6617461.3845
"5",5,"2017-12-20",0.25,48.6333333333333,0.3,0.162111111111111,0.103516188899086,284812.18805,6617461.3845
"6",6,"2017-12-20",0.3,97.35,0.36,0.270416666666667,0.157629799823595,284812.18805,6617461.3845
"7",7,"2017-12-21",0.44,245.872,0.528,0.465666666666667,0.224137389503971,284812.18805,6617461.3845
"8",8,"2017-12-21",0.49,306.936,0.588,0.522,0.238088248040686,284812.18805,6617461.3845
"9",9,"2017-12-21",0.44,244.009333333333,0.528,0.462138888888889,0.222439378977426,284812.18805,6617461.3845
"10",10,"2017-12-21",0.49,302.281,0.588,0.514083333333333,0.234477394981321,284812.18805,6617461.3845
"11",11,"2017-12-21",0.44,245.094666666667,0.528,0.464194444444444,0.223428770937775,284812.18805,6617461.3845
"12",12,"2017-12-21",0.49,301.823666666667,0.588,0.513305555555556,0.234122644505313,284812.18805,6617461.3845
"13",13,"2017-12-21",0.395,197.407833333333,0.474,0.416472222222222,0.211569465425791,284812.18805,6617461.3845
"14",14,"2017-12-21",0.395,199.251166666667,0.474,0.420361111111111,0.213545035702561,284812.18805,6617461.3845
"15",15,"2017-12-21",0.395,197.197166666667,0.474,0.416027777777778,0.211343685965589,284812.18805,6617461.3845
