"","ID","Fecha","Altura","Caudal","Area","Velocidad","Froude","Este","Norte"
"1",1,"2017-12-06",0.52,568.9852,1.2216,0.465770464963982,0.20843879370016,270936.66787,6613402.04136
"2",2,"2017-12-06",0.52,556.957775,1.2216,0.455924832187295,0.204032735408452,270936.66787,6613402.04136
"3",3,"2017-12-06",0.52,553.348725,1.2216,0.452970469056975,0.20271061661098,270936.66787,6613402.04136
"4",4,"2018-01-08",0.82,2035.50404,1.968,1.03430083333333,0.36467454075862,270936.66787,6613402.04136
"5",5,"2018-01-08",0.82,1994.1908,1.968,1.01330833333333,0.357272989826669,270936.66787,6613402.04136
"6",6,"2018-01-08",0.82,2003.588,1.968,1.01808333333333,0.358956562802735,270936.66787,6613402.04136
"7",7,"2017-09-14",0.59,907.5262,1.416,0.640908333333333,0.266400729020705,270936.66787,6613402.04136
"8",8,"2017-09-14",0.59,909.4496,1.416,0.642266666666667,0.266965335488484,270936.66787,6613402.04136
"9",9,"2017-09-14",0.59,903.8446,1.416,0.638308333333333,0.265320009892197,270936.66787,6613402.04136
"10",10,"2017-11-23",0.31,15.9268,0.696,0.0228833333333333,0.0135670612043329,270936.66787,6613402.04136
"11",11,"2017-11-23",0.31,15.428,0.696,0.0221666666666667,0.0131421641673436,270936.66787,6613402.04136
"12",12,"2017-11-23",0.31,15.3352,0.696,0.0220333333333333,0.0130631135558107,270936.66787,6613402.04136
"13",13,"2017-12-28",0.39,156.332,0.912,0.171416666666667,0.0887823719493034,270936.66787,6613402.04136
"14",14,"2017-12-28",0.39,154.356,0.912,0.16925,0.0876601834851897,270936.66787,6613402.04136
"15",15,"2017-12-28",0.39,154.584,0.912,0.1695,0.0877896667695105,270936.66787,6613402.04136
"16",16,"2017-08-30",0.47,374.238,1.08,0.346516666666667,0.16492381315987,270936.66787,6613402.04136
"17",17,"2017-08-30",0.47,381.042,1.08,0.352816666666667,0.167922283718017,270936.66787,6613402.04136
"18",18,"2017-08-30",0.47,374.058,1.08,0.34635,0.16484448854193,270936.66787,6613402.04136
