"","ID","Fecha","Altura","Caudal","Area","Velocidad","Froude","Este","Norte"
"1",1,"2017-09-11",0.235,44.0732572916667,0.348725,0.126383991086577,0.0836847038492403,270962.35243,6613347.09619
"2",2,"2017-09-11",0.235,43.6332208333333,0.348725,0.125122147346285,0.0828491785678934,270962.35243,6613347.09616
"3",3,"2017-09-11",0.235,44.0237864583333,0.348725,0.126242129065405,0.0835907704235968,270962.35243,6613347.09616
"4",4,"2017-11-15",0.42,395.8829,0.63,0.628385555555556,0.309575829046966,270962.35243,6613347.09616
"5",5,"2017-11-15",0.42,401.83465,0.63,0.637832777777778,0.314230028408773,270962.35243,6613347.09616
"6",6,"2017-11-15",0.42,396.6697,0.63,0.629634444444445,0.310191097507145,270962.35243,6613347.09616
"7",7,"2017-12-21",0.49,610.196183333333,0.735,0.830198888888889,0.378660151304368,270962.35243,6613347.09616
"8",8,"2017-12-21",0.49,625.186508333333,0.735,0.850593888888889,0.387962468964885,270962.35243,6613347.09616
"9",9,"2017-12-21",0.49,620.6683,0.735,0.844446666666667,0.385158673238437,270962.35243,6613347.09616
"10",10,"2017-12-27",0.28,103.518333333333,0.42,0.246472222222222,0.148714892460497,270962.35243,6613347.09616
"11",11,"2017-12-27",0.36,283.0653,0.54,0.524195,0.27893763865639,270962.35243,6613347.09616
"12",12,"2017-12-27",0.54,736.6995,0.81,0.909505555555555,0.39516090612223,270962.35243,6613347.09616
"13",13,"2017-12-27",0.28,103.8086,0.42,0.247163333333333,0.149131890829077,270962.35243,6613347.09616
"14",14,"2017-12-27",0.36,282.8046,0.54,0.523712222222222,0.278680740186681,270962.35243,6613347.09616
"15",15,"2017-12-27",0.54,739.24785,0.81,0.912651666666667,0.39652782478461,270962.35243,6613347.09616
"16",16,"2017-12-27",0.28,102.9588,0.42,0.24514,0.147911064415596,270962.35243,6613347.09616
"17",17,"2017-12-27",0.36,278.3784,0.54,0.515515555555556,0.274319083084164,270962.35243,6613347.09616
"18",18,"2017-12-27",0.54,743.86305,0.81,0.918349444444444,0.39900338858496,270962.35243,6613347.09616
