"","ID","Fecha","Altura","Caudal","Area","Velocidad","Froude","Este","Norte"
"1",1,"2018-02-01",0.12,50.5616,0.102,0.495701960784314,0.456873017812248,264213.5705,6612454.457
"2",2,"2018-02-01",0.19,104.533883333333,0.1615,0.64726862745098,0.474103600474827,264213.5705,6612454.457
"3",3,"2018-02-01",0.24,150.9056,0.204,0.739733333333333,0.482097705456449,264213.5705,6612454.457
"4",4,"2018-02-01",0.28,187.568266666667,0.238,0.788101960784314,0.475520110498597,264213.5705,6612454.457
"5",5,"2018-02-01",0.12,48.4996,0.102,0.475486274509804,0.438240851054691,264213.5705,6612454.457
"6",6,"2018-02-01",0.19,104.825216666667,0.1615,0.649072549019608,0.475424915419487,264213.5705,6612454.457
"7",7,"2018-02-01",0.24,149.9536,0.204,0.735066666666666,0.479056353673648,264213.5705,6612454.457
"8",8,"2018-02-01",0.28,188.1768,0.238,0.790658823529412,0.477062854604789,264213.5705,6612454.457
"9",9,"2018-02-01",0.12,48.1476,0.102,0.472035294117647,0.435060190192102,264213.5705,6612454.457
"10",10,"2018-02-01",0.19,104.081366666667,0.1615,0.644466666666667,0.472051253674915,264213.5705,6612454.457
"11",11,"2018-02-01",0.24,149.277,0.204,0.73175,0.47689482151373,264213.5705,6612454.457
"12",12,"2018-02-01",0.28,185.8717,0.238,0.780973529411765,0.471219001451003,264213.5705,6612454.457
"13",13,"2017-12-06",0.15,57.756,0.1275,0.452988235294118,0.373427923537313,264213.57045,6612454.45689
"14",14,"2017-12-06",0.15,58.0995,0.1275,0.455682352941176,0.375648861478568,264213.57045,6612454.45689
"15",15,"2017-12-06",0.15,57.50475,0.1275,0.451017647058824,0.371803438361942,264213.57045,6612454.45689
"16",16,"2018-01-08",0.085,23.32335,0.0765,0.304880392156863,0.324469392729306,264213.5705,6612454.457
"17",17,"2018-01-08",0.085,23.77605,0.0765,0.310798039215686,0.330767257062198,264213.5705,6612454.457
"18",18,"2018-01-08",0.085,23.7255,0.0765,0.310137254901961,0.3300640164127,264213.5705,6612454.457
