"","ID","Fecha","Altura","Caudal","Area","Velocidad","Froude","Este","Norte"
"1",1,"2018-01-11",0.18,61.848,0.1728,0.357916666666667,0.269346394171349,262031.5157,6611542.837
"2",2,"2018-01-11",0.4,216.896,0.384,0.564833333333333,0.285138472737685,262031.5157,6611542.837
"3",3,"2018-01-11",0.18,60.84,0.1728,0.352083333333333,0.264956580995099,262031.5157,6611542.837
"4",4,"2018-01-11",0.4,217.376,0.384,0.566083333333333,0.285769496209368,262031.5157,6611542.837
"5",5,"2018-01-11",0.18,61.7904,0.1728,0.357583333333333,0.269095547704135,262031.5157,6611542.837
"6",6,"2018-01-11",0.4,221.424,0.384,0.576625,0.291091127487225,262031.5157,6611542.837
"7",7,"2017-12-07",0.47,320.9648,0.4506,0.712305370616955,0.331940445490909,262031.51573,6611542.83746
"8",8,"2017-12-07",0.47,318.6871,0.4506,0.707250554815801,0.32958485773582,262031.51573,6611542.83746
"9",9,"2017-12-07",0.47,318.8285,0.4506,0.707564358632934,0.329731093020787,262031.51573,6611542.83746
"10",10,"2017-11-16",0.24,89.0496,0.2304,0.3865,0.251889099439777,262031.51573,6611542.83746
"11",11,"2017-11-16",0.24,88.992,0.2304,0.38625,0.251726169879984,262031.51573,6611542.83746
"12",12,"2017-11-16",0.24,88.9248,0.2304,0.385958333333333,0.251536085393559,262031.51573,6611542.83746
"13",13,"2017-12-26",0.28,140.7168,0.2688,0.5235,0.315866207969179,262031.51573,6611542.83746
"14",14,"2017-12-26",0.28,141.176,0.2688,0.525208333333333,0.316896971621418,262031.51573,6611542.83746
"15",15,"2017-12-26",0.28,139.944,0.2688,0.520625,0.31413150816419,262031.51573,6611542.83746
"16",16,"2017-12-28",0.345,202.4046,0.3312,0.611125,0.332189575032075,262031.51573,6611542.83746
"17",17,"2017-12-28",0.345,200.1966,0.3312,0.604458333333333,0.328565771118178,262031.51573,6611542.83746
"18",18,"2017-12-28",0.345,201.066,0.3312,0.607083333333333,0.329992643909275,262031.51573,6611542.83746
