"","ID","Fecha","Altura","Caudal","Area","Velocidad","Froude","Este","Norte"
"1",1,"2017-12-04",0.32,184.535352083333,0.2852,0.647038401414212,0.366973271289858,262228.81538,612342.86018
"2",2,"2017-12-04",0.32,186.855070833333,0.2852,0.655172057620383,0.371586342815446,262228.81538,6612342.86018
"3",3,"2017-12-04",0.32,186.640866666667,0.2852,0.654420991117345,0.371160369131389,262228.81538,612342.86018
"4",4,"2017-12-07",0.23,112.45575,0.198,0.567958333333333,0.38660781789455,262228.81538,6612342.86018
"5",5,"2017-12-07",0.23,116.18475,0.198,0.586791666666667,0.399427620820846,262228.81538,6612342.86018
"6",6,"2017-12-07",0.23,113.70975,0.198,0.574291666666667,0.390918902064455,262228.81538,6612342.86018
"7",7,"2017-11-16",0.1,29.2815,0.081,0.3615,0.384726891230496,262228.81538,6612342.86018
"8",8,"2017-11-16",0.19,84.0105,0.162,0.518583333333333,0.390254391368639,262228.81538,6612342.86018
"9",9,"2017-11-16",0.1,30.1185,0.081,0.371833333333333,0.395724155986739,262228.81538,6612342.86018
"10",10,"2017-11-16",0.19,83.4975,0.162,0.515416666666667,0.387871349930104,262228.81538,6612342.86018
"11",11,"2017-11-16",0.1,29.42325,0.081,0.36325,0.386589331229537,262228.81538,6612342.86018
"12",12,"2017-11-16",0.19,83.5245,0.162,0.515583333333333,0.387996773163711,262228.81538,6612342.86018
"13",13,"2017-12-28",0.28,155.196,0.243,0.638666666666667,0.392426081879807,262228.81538,6612342.86018
"14",14,"2017-12-28",0.37,233.388,0.324,0.720333333333333,0.383307889326464,262228.81538,6612342.86018
"15",15,"2017-12-28",0.28,156.542625,0.243,0.644208333333333,0.39583113595666,262228.81538,6612342.86018
"16",16,"2017-12-28",0.37,230.5935,0.324,0.711708333333333,0.378718305043113,262228.81538,6612342.86018
"17",17,"2017-12-28",0.28,154.254375,0.243,0.634791666666667,0.390045104217044,262228.81538,6612342.86018
"18",18,"2017-12-28",0.37,231.7815,0.324,0.715375,0.380669432661156,262228.81538,6612342.86018
