"","ID","Fecha","Altura","Caudal","Area","Velocidad","Froude","Este","Norte"
"1",1,"2017-12-04",0.21,107.112766666667,0.252,0.425050661375661,0.289924558043329,261517.27063,6613873.94734
"2",2,"2017-12-04",0.21,107.472666666667,0.252,0.426478835978836,0.290898707546577,261517.27063,6613873.94734
"3",3,"2017-12-04",0.21,108.5519,0.252,0.430761507936508,0.293819892919054,261517.27063,6613873.94734
"4",4,"2018-01-11",0.06,14.2621416666667,0.06325,0.225488405797101,0.306978788440718,261517.2706,6613873.947
"5",5,"2018-01-11",0.255,176.10775,0.299,0.588989130434783,0.368795915460541,261517.2706,6613873.947
"6",6,"2018-01-11",0.305,223.8975,0.3565,0.62804347826087,0.360142487204814,261517.2706,6613873.947
"7",7,"2018-01-11",0.355,268.236,0.414,0.647913043478261,0.344771190878396,261517.2706,6613873.947
"8",8,"2018-01-11",0.06,14.50075,0.06325,0.229260869565217,0.31211460175617,261517.2706,6613873.947
"9",9,"2018-01-11",0.255,176.534583333333,0.299,0.590416666666667,0.369689768172393,261517.2706,6613873.947
"10",10,"2018-01-11",0.305,222.831358333333,0.3565,0.625052898550725,0.358427582341893,261517.2706,6613873.947
"11",11,"2018-01-11",0.355,267.6345,0.414,0.646460144927536,0.343998066199705,261517.2706,6613873.947
"12",12,"2018-01-11",0.06,14.1202416666667,0.06325,0.223244927536232,0.303924528351468,261517.2706,6613873.947
"13",13,"2018-01-11",0.255,176.630133333333,0.299,0.590736231884058,0.369889864134793,261517.2706,6613873.947
"14",14,"2018-01-11",0.305,224.549791666667,0.3565,0.629873188405797,0.361191708135,261517.2706,6613873.947
"15",15,"2018-01-11",0.355,269.586,0.414,0.651173913043478,0.346506383424087,261517.2706,6613873.947
"16",16,"2017-12-26",0.11,59.4829666666667,0.137,0.434182238442822,0.401681350854834,261517.27063,6613873.94734
"17",17,"2017-12-26",0.11,59.6362333333333,0.137,0.43530097323601,0.402716342301254,261517.27063,6613873.94734
"18",18,"2017-12-26",0.11,61.0959666666667,0.137,0.44595596107056,0.412573746699171,261517.27063,6613873.94734
