"","ID","Fecha","Altura","Caudal","Area","Velocidad","Froude","Este","Norte"
"1",1,"2018-01-30",0.24,37.568775,0.345,0.108895,0.0724952442707373,NA,NA
"2",2,"2018-01-30",0.28,75.22875,0.405,0.18575,0.114133316350481,NA,NA
"3",3,"2018-01-30",0.34,196.730875,0.495,0.397436111111111,0.220889896145364,NA,NA
"4",4,"2018-01-30",0.4,338.64,0.58375,0.580111349036403,0.296886494916545,NA,NA
"5",5,"2018-01-30",0.43,397.853591666667,0.62875,0.632769131875414,0.312032725346622,NA,NA
"6",6,"2018-01-30",0.46,472.203066666667,0.6606,0.714809365223534,0.343899920187349,NA,NA
"7",7,"2018-01-30",0.24,37.1327333333333,0.345,0.107631111111111,0.0716538288363181,NA,NA
"8",8,"2018-01-30",0.28,78.6096,0.405,0.194097777777778,0.11926257374986,NA,NA
"9",9,"2018-01-30",0.34,189.5465,0.495,0.382922222222222,0.212823262742654,NA,NA
"10",10,"2018-01-30",0.4,339.07345,0.58375,0.580853875802998,0.297266501564377,NA,NA
"11",11,"2018-01-30",0.43,401.003316666667,0.62875,0.637778634857522,0.3145030242114,NA,NA
"12",12,"2018-01-30",0.46,477.391933333333,0.6606,0.72266414370774,0.347678910538103,NA,NA
"13",13,"2018-01-30",0.24,38.9181083333333,0.345,0.112806111111111,0.075099008955709,NA,NA
"14",14,"2018-01-30",0.28,79.1622,0.405,0.195462222222222,0.120100950974196,NA,NA
"15",15,"2018-01-30",0.34,191.735775,0.495,0.387345,0.215281385939552,NA,NA
"16",16,"2018-01-30",0.4,332.224891666667,0.58375,0.569121870092791,0.291262354154694,NA,NA
"17",17,"2018-01-30",0.43,402.250758333333,0.62875,0.639762637508284,0.315481380649834,NA,NA
"18",18,"2018-01-30",0.46,474.5752,0.6606,0.718400242204057,0.345627516896464,NA,NA
