"","ID","Fecha","Altura","Caudal","Area","Velocidad","Froude","Este","Norte"
"1",1,"2017-12-07",0.51,309.155833333333,0.59,0.523992937853107,0.236595199150245,268635.80569,6617376.4971
"2",2,"2017-12-07",0.51,307.959166666667,0.59,0.521964689265537,0.235679396963161,268635.80569,6617376.4971
"3",3,"2017-12-07",0.51,304.15375,0.59,0.515514830508475,0.232767133253328,268635.80569,6617376.4971
"4",4,"2018-01-08",0.54,328.4675,0.6254,0.52521186440678,0.230336142672583,268635.80569,6617376.4971
"5",5,"2018-01-08",0.54,333.2428,0.6254,0.532847457627119,0.23368479720341,268635.80569,6617376.4971
"6",6,"2018-01-08",0.54,330.436229166667,0.6254,0.528359816384181,0.231716703861185,268635.80569,6617376.4971
"7",7,"2017-12-21",0.27,13.0598,0.3068,0.0425677966101695,0.0266538526923187,268635.80569,6617376.4971
"8",8,"2017-12-21",0.36,99.99400625,0.41835,0.239019974303813,0.128171530987862,268635.80569,6617376.4971
"9",9,"2017-12-21",0.27,13.42185,0.3068,0.0437478813559322,0.027392763500084,268635.80569,6617376.4971
"10",10,"2017-12-21",0.36,101.939004166667,0.41835,0.243669186486594,0.1306646140245,268635.80569,6617376.4971
"11",11,"2017-12-21",0.27,12.9423666666667,0.3068,0.0421850282485876,0.026414182041326,268635.80569,6617376.4971
"12",12,"2017-12-21",0.36,100.564425,0.41835,0.240383470778057,0.128902689256577,268635.80569,6617376.4971
"13",13,"2017-12-26",0.32,48.1572083333333,0.3658,0.131649011299435,0.0754922294531647,268635.80569,6617376.4971
"14",14,"2017-12-26",0.43,198.8938,0.4956,0.401319209039548,0.197710984526134,268635.80569,6617376.4971
"15",15,"2017-12-26",0.32,47.6715416666667,0.3658,0.130321327683616,0.0747308884056527,268635.80569,6617376.4971
"16",16,"2017-12-26",0.43,201.23145,0.4956,0.406036016949153,0.200034732591572,268635.80569,6617376.4971
"17",17,"2017-12-26",0.32,48.2595083333333,0.3658,0.131928672316384,0.075652597035513,268635.80569,6617376.4971
"18",18,"2017-12-26",0.43,200.23605,0.4956,0.404027542372881,0.19904525220557,268635.80569,6617376.4971
