"","ID","Fecha","Altura","Caudal","Area","Velocidad","Froude","Este","Norte"
"1",1,"2016-11-09",0.27,31.5310666666667,0.23735,0.132846288884208,0.0825961602366222,269162.64,6618262.79
"2",2,"2016-11-09",0.27,31.0794520833333,0.23735,0.130943552067973,0.0814131482286704,269162.64,6618262.79
"3",3,"2016-11-09",0.27,31.7088041666667,0.23735,0.133595130257707,0.0830617466116488,269162.64,6618262.79
"4",4,"2017-01-13",0.35,115.854375,0.315,0.367791666666667,0.198487590169076,269162.64,6618262.79
"5",5,"2017-01-13",0.38,169.347,0.342,0.495166666666667,0.256463225144755,269162.64,6618262.79
"6",6,"2017-01-13",0.35,114.725625,0.315,0.364208333333333,0.196553758430712,269162.64,6618262.79
"7",7,"2017-01-13",0.38,170.544,0.342,0.498666666666667,0.258275991125246,269162.64,6618262.79
"8",8,"2017-01-13",0.35,114.988125,0.315,0.365041666666667,0.197003486741959,269162.64,6618262.79
"9",9,"2017-01-13",0.38,169.98825,0.342,0.497041666666667,0.257434349777161,269162.64,6618262.79
"10",10,"2016-12-20",0.32,85.212,0.288,0.295875,0.166993196595816,269162.64,6618262.79
"11",11,"2016-12-20",0.32,86.844,0.288,0.301541666666667,0.170191489052799,269162.64,6618262.79
"12",12,"2016-12-20",0.32,85.692,0.288,0.297541666666667,0.16793387084787,269162.64,6618262.79
"13",13,"2016-12-21",0.23,14.136375,0.207,0.0682916666666667,0.0454641724289983,2691162.64,6618262.79
"14",14,"2016-12-21",0.23,13.98975,0.207,0.0675833333333333,0.0449926099327854,269162.64,6618262.79
"15",15,"2016-12-21",0.23,14.101875,0.207,0.068125,0.0453532165475364,269162.64,6618262.79
"16",16,"2016-12-27",0.41,221.569125,0.369,0.600458333333333,0.299403204602578,269162.64,6618262.79
"17",17,"2016-12-27",0.41,223.906125,0.369,0.606791666666667,0.302561159435663,269162.64,6618262.79
"18",18,"2016-12-27",0.41,221.7075,0.369,0.600833333333333,0.299590188770327,269162.64,6618262.79
