,ID,Fecha,Altura,Caudal,Area,Velocidad,Froude,Este,Norte
1,1,03-01-17,0.28,328.3578667,0.392,0.837647619,0.505414665,6611541.19,262033.03
2,2,03-01-17,0.28,327.3816,0.392,0.835157143,0.503911977,6611541.19,262033.03
3,3,03-01-17,0.28,328.9241667,0.392,0.839092262,0.506286325,6611541.19,262033.03
4,4,09-01-17,0.25,272.4960417,0.35,0.778560119,0.497150231,6611541.19,262033.03
5,5,09-01-17,0.25,273.0704167,0.35,0.78020119,0.498198139,6611541.19,262033.03
6,6,09-01-17,0.25,271.9989583,0.35,0.777139881,0.496243337,6611541.19,262033.03
7,7,14-12-16,0.13,94.0017,0.182,0.516492857,0.457359959,6611541.19,262033.03
8,8,14-12-16,0.13,92.68133333,0.182,0.509238095,0.450935789,6611541.19,262033.03
9,9,14-12-16,0.13,92.87395,0.182,0.510296429,0.451872955,0.555555556,6611541.19
10,10,20-12-16,0.1,58.10633333,0.14,0.415045238,0.419045259,6611541.19,262033.03
11,11,20-12-16,0.08,42.70146667,0.112,0.381263095,0.430373252,6611541.19,262033.03
12,12,20-12-16,0.08,41.39426667,0.112,0.369591667,0.417198438,6611541.19,262033.03
13,13,20-12-16,0.08,41.79813333,0.112,0.373197619,0.421268869,6611541.19,262033.03
14,14,22-12-16,0.2,184.047,0.28,0.657310714,0.469268292,6611541.19,262033.03
15,15,22-12-16,0.2,185.5706667,0.28,0.662752381,0.473153215,6611541.19,262033.03
16,16,22-12-16,0.2,185.166,0.28,0.661307143,0.472121428,6611541.19,262033.03
17,17,29-12-16,0.16,117.4917333,0.224,0.524516667,0.418663209,6611541.19,262033.03
18,18,29-12-16,0.16,116.1624,0.224,0.518582143,0.41392634,6611541.19,262033.03
19,19,29-12-16,0.16,117.0448,0.224,0.522521429,0.417070632,262033.03,262034.03
